name,tax_class,rule_class,overridden,is_stealer,breach_date,pwn_count
Leet,service,service,FALSE,FALSE,2016-09-10,5081689
LegendasTV,service,service,FALSE,FALSE,2017-10-01,3869181
Life360,aggregator,aggregator,FALSE,FALSE,2024-03-01,442519
Lifebear,service,service,FALSE,FALSE,2019-02-28,3670561
Lifeboat,service,service,FALSE,FALSE,2016-01-01,7089395
LightsHope,service,service,FALSE,FALSE,2018-06-25,30484
Liker,aggregator,aggregator,FALSE,FALSE,2021-03-08,465141
LimeVPN,service,service,FALSE,FALSE,2020-10-08,23348
LinkedIn,service,service,FALSE,FALSE,2012-05-05,164611595
LinkedInScrape2023,combolist,combolist,FALSE,FALSE,2023-11-04,19788753
LinkedInScrape,aggregator,aggregator,FALSE,FALSE,2021-04-08,125698496
LinuxForums,service,service,FALSE,FALSE,2018-05-01,275785
LinuxMint,service,service,FALSE,FALSE,2016-02-21,144989
LittleMonsters,service,service,FALSE,FALSE,2017-01-01,995698
LiveAuctioneers,service,service,FALSE,FALSE,2020-06-19,3385862
LiveJournal,service,service,FALSE,FALSE,2017-01-01,26372781
Livpure,service,service,FALSE,FALSE,2020-08-29,269552
LizardSquad,service,service,FALSE,FALSE,2015-01-16,13451
Locally,service,service,FALSE,FALSE,2022-10-01,362619
Lolzteam,service,service,FALSE,FALSE,2018-05-13,398011
Lookbook,service,service,FALSE,FALSE,2012-08-24,1074948
Lookiero,service,service,FALSE,FALSE,2024-03-27,4981760
LOTR,service,service,FALSE,FALSE,2013-08-01,1141278
LoungeBoard,service,service,FALSE,FALSE,2013-08-01,45018
LuLu,service,service,FALSE,FALSE,2024-07-06,2796835
LuminPDF,service,aggregator,TRUE,FALSE,2019-04-01,15453048
Luxottica,service,service,FALSE,FALSE,2021-03-16,77093812
LyricsMania,service,service,FALSE,FALSE,2017-12-21,109202
MacForums,service,service,FALSE,FALSE,2016-07-03,326714
MacGeneration,service,service,FALSE,FALSE,2022-01-29,101004
Mac-Torrents,service,service,FALSE,FALSE,2015-10-31,93992
MagicDuel,service,service,FALSE,FALSE,2023-08-02,138443
MailRu,service,service,FALSE,FALSE,2014-09-10,16630988
MajorGeeks,service,service,FALSE,FALSE,2015-11-15,269548
MalindoAir,service,service,FALSE,FALSE,2019-03-01,4328232
MallCZ,service,service,FALSE,FALSE,2017-07-27,735405
Malwarebytes,combolist,combolist,FALSE,FALSE,2014-11-15,111623
MangaTraders,service,service,FALSE,FALSE,2014-06-09,855249
MangaDex,service,service,FALSE,FALSE,2021-03-22,2987329
MangaFox,service,service,FALSE,FALSE,2016-06-01,1311610
Mangatoon,service,service,FALSE,FALSE,2022-05-13,23040238
ManipulatedCaiman,combolist,combolist,FALSE,FALSE,2023-07-16,39901389
Mappery,service,service,FALSE,FALSE,2018-12-11,205242
MarketMoveis,service,service,FALSE,FALSE,2023-08-30,28220
Mashable,service,service,FALSE,FALSE,2020-06-01,1414677
MasterDeeds,service,service,FALSE,FALSE,2017-03-14,2257930
MastercardPricelessSpecials,service,service,FALSE,FALSE,2019-08-20,89388
Mate1,service,service,FALSE,FALSE,2016-02-29,27393015
Mathway,service,service,FALSE,FALSE,2020-01-13,25692862
MC2Data,aggregator,aggregator,FALSE,FALSE,2024-08-18,2122280
MCBans,service,service,FALSE,FALSE,2016-10-27,119948
MDPI,aggregator,aggregator,FALSE,FALSE,2016-08-30,845012
MechoDownload,service,service,FALSE,FALSE,2013-10-31,437928
MediaWorks,service,service,FALSE,FALSE,2023-03-15,162710
MeetMindful,service,service,FALSE,FALSE,2020-01-26,1422717
MemeChat,service,service,FALSE,FALSE,2022-06-01,4348570
MEO,service,service,FALSE,FALSE,2020-12-24,8227
MGM,service,service,FALSE,FALSE,2019-07-25,3081321
MGM2022Update,service,service,FALSE,FALSE,2019-07-25,24842001
MindJolt,service,service,FALSE,FALSE,2019-03-18,28364826
MinecraftPocketEditionForum,service,service,FALSE,FALSE,2015-05-24,16034
MinecraftWorldMap,service,service,FALSE,FALSE,2016-01-15,71081
Minefield,service,service,FALSE,FALSE,2015-06-28,188343
Minehut,service,service,FALSE,FALSE,2019-05-17,396533
Minted,service,service,FALSE,FALSE,2020-05-06,4418182
Flipkart,service,service,FALSE,FALSE,2022-09-02,552094
Habibs,service,service,FALSE,FALSE,2021-08-05,3517679
MMGFusion,service,service,FALSE,FALSE,2020-12-20,2660295
MobiFriends,service,service,FALSE,FALSE,2020-01-06,3512952
MoDaCo,service,service,FALSE,FALSE,2016-01-01,879703
ModernBusinessSolutions,service,service,FALSE,FALSE,2016-10-08,58843488
MoneyBookers,service,service,FALSE,FALSE,2009-01-01,4483605
Moneycontrol,service,service,FALSE,FALSE,2017-09-07,762874
MoreleNet,service,service,FALSE,FALSE,2018-10-10,2467304
MortalOnline,service,service,FALSE,FALSE,2018-06-17,606637
MovieForums,service,service,FALSE,FALSE,2022-11-24,39914
MovieBoxPro,aggregator,aggregator,FALSE,FALSE,2024-04-15,6009014
MPGH,service,service,FALSE,FALSE,2015-10-22,3122898
MrGreenGaming,service,service,FALSE,FALSE,2024-03-01,27123
MrExcel,service,service,FALSE,FALSE,2016-12-05,366140
MSI,service,service,FALSE,FALSE,2024-07-07,249990
mSpy,service,service,FALSE,FALSE,2015-05-14,699793
mSpy2024,service,service,FALSE,FALSE,2024-06-09,2394179
Muah,service,service,FALSE,FALSE,2024-09-17,1910261
MultiplayerIt,service,service,FALSE,FALSE,2018-09-01,503957
MuslimDirectory,service,service,FALSE,FALSE,2014-02-17,37784
MuslimMatch,service,service,FALSE,FALSE,2016-06-24,149830
MyFHA,service,service,FALSE,FALSE,2015-02-18,972629
MyFitnessPal,service,service,FALSE,FALSE,2018-02-01,143606147
MyHeritage,service,service,FALSE,FALSE,2017-10-26,91991358
MyPertamina,service,service,FALSE,FALSE,2022-11-01,5970416
myRepoSpace,service,service,FALSE,FALSE,2015-07-06,252751
MySpace,service,service,FALSE,FALSE,2008-07-01,359420698
