country,legislature,term,leg_start_year,row_count,n_unique_emails,person_count_legistype,ltype,url,cc,leg_start_date,lastmod,cc3,pop2024,lastmod_year
Greece,Hellenic Parliament,11th Hellenic Parliament,2004,335,44,1783,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/5c37d1f0eee912d0768b83a42e21e48b3b4430c4/data/Greece/Parliament/term-11.csv,GR,2004-03-07,1554691682,GRC,10319099.0,2019
Greece,Hellenic Parliament,7th Hellenic Parliament,1990,371,9,1783,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/5c37d1f0eee912d0768b83a42e21e48b3b4430c4/data/Greece/Parliament/term-7.csv,GR,1990-04-08,1554691682,GRC,10319099.0,2019
Greece,Hellenic Parliament,8th Hellenic Parliament,1993,329,11,1783,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/5c37d1f0eee912d0768b83a42e21e48b3b4430c4/data/Greece/Parliament/term-8.csv,GR,1993-10-10,1554691682,GRC,10319099.0,2019
Greece,Hellenic Parliament,9th Hellenic Parliament,1996,344,14,1783,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/5c37d1f0eee912d0768b83a42e21e48b3b4430c4/data/Greece/Parliament/term-9.csv,GR,1996-09-22,1554691682,GRC,10319099.0,2019
Greece,Hellenic Parliament,10th Hellenic Parliament,2000,364,29,1783,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/5c37d1f0eee912d0768b83a42e21e48b3b4430c4/data/Greece/Parliament/term-10.csv,GR,2000-04-09,1554691682,GRC,10319099.0,2019
Greece,Hellenic Parliament,3nd Hellenic Parliament,1981,314,1,1783,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/5c37d1f0eee912d0768b83a42e21e48b3b4430c4/data/Greece/Parliament/term-3.csv,GR,1981-10-18,1554691682,GRC,10319099.0,2019
Greece,Hellenic Parliament,4th Hellenic Parliament,1985,356,2,1783,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/5c37d1f0eee912d0768b83a42e21e48b3b4430c4/data/Greece/Parliament/term-4.csv,GR,1985-06-02,1554691682,GRC,10319099.0,2019
Greece,Hellenic Parliament,5th Hellenic Parliament,1989,304,7,1783,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/5c37d1f0eee912d0768b83a42e21e48b3b4430c4/data/Greece/Parliament/term-5.csv,GR,1989-06-18,1554691682,GRC,10319099.0,2019
Greece,Hellenic Parliament,6th Hellenic Parliament,1989,315,9,1783,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/5c37d1f0eee912d0768b83a42e21e48b3b4430c4/data/Greece/Parliament/term-6.csv,GR,1989-11-05,1554691682,GRC,10319099.0,2019
Greece,Hellenic Parliament,1st Hellenic Parliament,1974,378,1,1783,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/5c37d1f0eee912d0768b83a42e21e48b3b4430c4/data/Greece/Parliament/term-1.csv,GR,1974-11-17,1554691682,GRC,10319099.0,2019
Greece,Hellenic Parliament,2nd Hellenic Parliament,1977,330,2,1783,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/5c37d1f0eee912d0768b83a42e21e48b3b4430c4/data/Greece/Parliament/term-2.csv,GR,1977-11-20,1554691682,GRC,10319099.0,2019
Azerbaijan,National Assembly,4th Convocation of the National Assembly of Azerbaijan,2010,125,0,152,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/7a016a6e78cc11a60f2ae290a240788285237a70/data/Azerbaijan/National_Assembly/term-4.csv,AZ,2010-01-01,1557860829,AZE,10162521.0,2019
Azerbaijan,National Assembly,5th Convocation of the National Assembly of Azerbaijan,2015,124,0,152,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/7a016a6e78cc11a60f2ae290a240788285237a70/data/Azerbaijan/National_Assembly/term-5.csv,AZ,2015-12-01,1557860829,AZE,10162521.0,2019
Israel,Knesset,Knesset 1,1949,130,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/ad2afb8f520ea66ca3de817dc25c3c801167ab75/data/Israel/Knesset/term-1.csv,IL,1949-02-14,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 14,1996,128,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/243c7a9e05e8ac2a8310eb0e641be9a864bd659b/data/Israel/Knesset/term-14.csv,IL,1996-06-17,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 15,1999,140,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/243c7a9e05e8ac2a8310eb0e641be9a864bd659b/data/Israel/Knesset/term-15.csv,IL,1999-06-07,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 17,2006,134,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/243c7a9e05e8ac2a8310eb0e641be9a864bd659b/data/Israel/Knesset/term-17.csv,IL,2006-04-17,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 18,2009,134,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/243c7a9e05e8ac2a8310eb0e641be9a864bd659b/data/Israel/Knesset/term-18.csv,IL,2009-02-24,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 16,2003,138,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/54c79884967331dfd7dffd06e9eef75478c7e38c/data/Israel/Knesset/term-16.csv,IL,2003-02-17,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 8,1974,135,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/ad2afb8f520ea66ca3de817dc25c3c801167ab75/data/Israel/Knesset/term-8.csv,IL,1974-01-21,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 4,1959,126,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/ad2afb8f520ea66ca3de817dc25c3c801167ab75/data/Israel/Knesset/term-4.csv,IL,1959-11-30,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 3,1955,136,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/ad2afb8f520ea66ca3de817dc25c3c801167ab75/data/Israel/Knesset/term-3.csv,IL,1955-08-15,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 2,1951,131,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/ad2afb8f520ea66ca3de817dc25c3c801167ab75/data/Israel/Knesset/term-2.csv,IL,1951-08-20,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 20,2015,132,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/43fa47b41ae05e51668d455ca69ceeb6431638df/data/Israel/Knesset/term-20.csv,IL,2015-03-31,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 19,2013,128,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/43fa47b41ae05e51668d455ca69ceeb6431638df/data/Israel/Knesset/term-19.csv,IL,2013-02-05,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 6,1965,132,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/95e1a97c29fbdfcbbdee354cf99ea88c25c8a9c8/data/Israel/Knesset/term-6.csv,IL,1965-11-22,1557255602,ISR,9900172.0,2019
