Country Name,cc3,Series Name,Series Code,2024 [YR2024],region,EU,politician,civil_servants
Greece,GRC,"Population, total",SP.POP.TOTL,10319099,,1,,
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10162521,,,,
Israel,ISR,"Population, total",SP.POP.TOTL,9900172,,,,
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9591853,,,,
Hungary,HUN,"Population, total",SP.POP.TOTL,9449423,,1,,
Togo,TGO,"Population, total",SP.POP.TOTL,9260864,,,,
Austria,AUT,"Population, total",SP.POP.TOTL,9144349,,,,
Belarus,BLR,"Population, total",SP.POP.TOTL,9139221,,,,
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,8977972,,,,
Switzerland,CHE,"Population, total",SP.POP.TOTL,8900261,,,,
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7736681,,,,
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7538601,,,,
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,7212168,,,,
Nicaragua,NIC,"Population, total",SP.POP.TOTL,7142529,,,,
Libya,LBY,"Population, total",SP.POP.TOTL,6964197,,,,
Paraguay,PRY,"Population, total",SP.POP.TOTL,6947270,,,,
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,6598071,,,,
Serbia,SRB,"Population, total",SP.POP.TOTL,6579187,,,,
El Salvador,SLV,"Population, total",SP.POP.TOTL,6396289,,,,
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6378654,,1,https://github.com/everypolitician/everypolitician-data/tree/master/data/Bulgaria/National_Assembly,
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,6244547,,,,
Denmark,DNK,"Population, total",SP.POP.TOTL,5972149,,1,https://github.com/everypolitician/everypolitician-data/tree/master/data/Denmark/Folketing,
Singapore,SGP,"Population, total",SP.POP.TOTL,5953785,,,https://www.pap.org.sg/,
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5915627,,,,
Finland,FIN,"Population, total",SP.POP.TOTL,5586664,,1,,
Norway,NOR,"Population, total",SP.POP.TOTL,5558215,,,,
Liberia,LBR,"Population, total",SP.POP.TOTL,5536949,,,,
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5347487,,1,,
Ireland,IRL,"Population, total",SP.POP.TOTL,5294808,,1,,
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,5284560,,,,
New Zealand,NZL,"Population, total",SP.POP.TOTL,5262079,,,,
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5246714,,,,
Lebanon,LBN,"Population, total",SP.POP.TOTL,5219044,,,,
Mauritania,MRT,"Population, total",SP.POP.TOTL,4993922,,,,
Oman,OMN,"Population, total",SP.POP.TOTL,4713553,,,,
Panama,PAN,"Population, total",SP.POP.TOTL,4527961,,,,
Kuwait,KWT,"Population, total",SP.POP.TOTL,4349380,,,,
Croatia,HRV,"Population, total",SP.POP.TOTL,3831518,,1,,
Eritrea,ERI,"Population, total",SP.POP.TOTL,3817651,,,,
Georgia,GEO,"Population, total",SP.POP.TOTL,3753368,,,,
Mongolia,MNG,"Population, total",SP.POP.TOTL,3493629,,,,
Uruguay,URY,"Population, total",SP.POP.TOTL,3423316,,,,
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3211671,,,,
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3194378,,,,
Lithuania,LTU,"Population, total",SP.POP.TOTL,2845566,,1,,
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2841803,,,,
Jamaica,JAM,"Population, total",SP.POP.TOTL,2824738,,,,
Armenia,ARM,"Population, total",SP.POP.TOTL,2777979,,,,
Albania,ALB,"Population, total",SP.POP.TOTL,2740502,,,,
Qatar,QAT,"Population, total",SP.POP.TOTL,2737061,,,,
Botswana,BWA,"Population, total",SP.POP.TOTL,2719694,,,,
Namibia,NAM,"Population, total",SP.POP.TOTL,2645805,,,,
Gabon,GAB,"Population, total",SP.POP.TOTL,2484557,,,,
Moldova,MDA,"Population, total",SP.POP.TOTL,2397965,,,,
Lesotho,LSO,"Population, total",SP.POP.TOTL,2356083,,,,
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,2197149,,,,
Slovenia,SVN,"Population, total",SP.POP.TOTL,2119415,,1,,
Latvia,LVA,"Population, total",SP.POP.TOTL,1861411,,1,,
North Macedonia,MKD,"Population, total",SP.POP.TOTL,1811631,,,,
Kosovo,XKX,"Population, total",SP.POP.TOTL,1760466,,,,
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1754993,,,,
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1538200,,,,
Bahrain,BHR,"Population, total",SP.POP.TOTL,1498712,,,,
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1379883,,,,
Estonia,EST,"Population, total",SP.POP.TOTL,1361835,,1,,
Cyprus,CYP,"Population, total",SP.POP.TOTL,1268467,,1,,
Mauritius,MUS,"Population, total",SP.POP.TOTL,1262292,,,,
